gene_symbol	taxon_id	entrez_gene_id	species_name
ACKR1	9315	140528987	Notamacropus eugenii
ACKR1	9337	118846472	Trichosurus vulpecula
ACKR1	9361	101431791	Dasypus novemcinctus
ACKR1	9365	103120220	Erinaceus europaeus
ACKR1	9371	101661884	Echinops telfairi
ACKR1	93934	107324501	Coturnix japonica
ACKR1	9402	102895192	Pteropus alecto
ACKR1	9407	107503187	Rousettus aegyptiacus
ACKR1	9417	119064512	Artibeus jamaicensis
ACKR1	9423	123820590	Phyllostomus hastatus
ACKR1	9430	112317664	Desmodus rotundus
ACKR1	9447	123635162	Lemur catta
ACKR1	9470	128596308	Nycticebus coucang
ACKR1	9483	100398804	Callithrix jacchus
ACKR1	94885	117660394	Pantherophis guttatus
ACKR1	9515	116538397	Sapajus apella
ACKR1	9531	105601251	Cercocebus atys
ACKR1	9541	102130143	Macaca fascicularis
ACKR1	9544	719284	Macaca mulatta
ACKR1	9555	101002058	Papio anubis
ACKR1	9565	112628460	Theropithecus gelada
ACKR1	9568	105538775	Mandrillus leucophaeus
ACKR1	9590	134733953	Symphalangus syndactylus
ACKR1	95912	120241347	Hyaena hyaena
ACKR1	9595	101153049	Gorilla gorilla gorilla
ACKR1	9597	100976602	Pan paniscus
ACKR1	9598	745985	Pan troglodytes
ACKR1	9600	129038649	Pongo pygmaeus
ACKR1	9601	100438260	Pongo abelii
ACKR1	9606	2532	Homo sapiens
ACKR1	9615	100856110	Canis lupus familiaris
ACKR1	9627	112910130	Vulpes vulpes
ACKR1	9643	123783544	Ursus americanus
ACKR1	9644	113246679	Ursus arctos
ACKR1	9646	100476340	Ailuropoda melanoleuca
ACKR1	9657	125085755	Lutra lutra
ACKR1	9662	123927937	Meles meles
ACKR1	9666	131814638	Mustela lutreola
ACKR1	9669	101671329	Mustela putorius furo
ACKR1	9678	144228295	Crocuta crocuta
ACKR1	9685	101094569	Felis catus
ACKR1	9689	122211740	Panthera leo
ACKR1	9690	132686694	Panthera onca
ACKR1	9691	109257232	Panthera pardus
ACKR1	9694	102951863	Panthera tigris
ACKR1	9696	112851786	Puma concolor
ACKR1	9704	113932341	Zalophus californianus
ACKR1	9708	101375100	Odobenus rosmarus divergens
ACKR1	9711	118527995	Halichoerus grypus
ACKR1	9713	102741710	Leptonychotes weddellii
ACKR1	9716	123845836	Mirounga angustirostris
ACKR1	9720	116627420	Phoca vitulina
ACKR1	9728	132423167	Delphinus delphis
ACKR1	9731	115844618	Globicephala melas
ACKR1	9733	101271980	Orcinus orca
ACKR1	9737	307198133	Stenella coeruleoalba
ACKR1	9739	117312377	Tursiops truncatus
ACKR1	9742	136128557	Phocoena phocoena
ACKR1	9749	111167054	Delphinapterus leucas
ACKR1	9755	102992635	Physeter macrocephalus
ACKR1	9764	137761367	Eschrichtius robustus
ACKR1	9767	103012847	Balaenoptera acutorostrata
ACKR1	9771	118882658	Balaenoptera musculus
ACKR1	9785	100662964	Loxodonta africana
ACKR1	9793	106835735	Equus asinus
ACKR1	9796	100057225	Equus caballus
ACKR1	9798	103553937	Equus przewalskii
ACKR1	9823	100154447	Sus scrofa
ACKR1	9837	105069492	Camelus bactrianus
ACKR1	9838	105086521	Camelus dromedarius
ACKR1	9860	122677405	Cervus elaphus
ACKR1	9874	110132537	Odocoileus virginianus
ACKR1	9886	136161134	Muntiacus reevesi
ACKR1	98922	132220995	Myotis daubentonii
ACKR1	9913	528076	Bos taurus
ACKR1	9915	109578886	Bos indicus
ACKR1	9925	102169438	Capra hircus
ACKR1	9940	101113185	Ovis aries
ACKR1	9978	101536017	Ochotona princeps
ACKR1	9983	133761044	Lepus europaeus
ACKR1	9986	100359218	Oryctolagus cuniculus
ACKR2	100784	104634047	Balearica regulorum gibbericeps
ACKR2	109478	102246079	Myotis brandtii
ACKR2	110931	134390078	Cynocephalus volans
ACKR2	111821	141932300	Strix aluco
ACKR2	118200	104298109	Dryobates pubescens
ACKR2	118797	103080162	Lipotes vexillifer
ACKR2	120794	119147282	Falco rusticolus
ACKR2	121530	104376961	Tauraco erythrolophus
ACKR2	128390	104021765	Nipponia nippon
ACKR2	132908	105290392	Pteropus vampyrus
ACKR2	13616	100026626	Monodelphis domestica
ACKR2	13735	102444449	Pelodiscus sinensis
ACKR2	143281	140614183	Canis lupus baileyi
ACKR2	143291	120582222	Pteropus medius
ACKR2	143292	118918380	Manis pentadactyla
ACKR2	143302	101627152	Condylura cristata
ACKR2	148594	121087424	Falco naumanni
ACKR2	156563	111925559	Cyanistes caeruleus
ACKR2	1608482	121033534	Herpailurus yagouaroundi
ACKR2	1706337	112407364	Neophocaena asiaeorientalis asiaeorientalis
ACKR2	175006	130576321	Malurus melanocephalus
ACKR2	175836	104500508	Buceros rhinoceros silvestris
ACKR2	176057	104401580	Nestor notabilis
ACKR2	185453	102838620	Chrysochloris asiatica
ACKR2	1868482	103271084	Carlito syrichta
ACKR2	186990	109377085	Hipposideros armiger
ACKR2	187382	104479906	Chlamydotis macqueenii
ACKR2	188344	104352647	Leptosomus discolor
ACKR2	188379	104124592	Egretta garzetta
ACKR2	1884717	129087600	Pteronotus mesoamericanus
ACKR2	194338	113476728	Athene cunicularia
ACKR2	194408	115083216	Rhinatrema bivittatum
ACKR2	219594	116486818	Aythya fuligula
ACKR2	223781	115339839	Aquila chrysaetos chrysaetos
ACKR2	240206	104472379	Pterocles gutturalis
ACKR2	246437	102479329	Tupaia chinensis
ACKR2	2489341	115606641	Strigops habroptila
ACKR2	249018	136382531	Saccopteryx leptura
ACKR2	2715852	108300041	Cebus imitator
ACKR2	27606	133094631	Eubalaena glacialis
ACKR2	27610	132527126	Lagenorhynchus albirostris
ACKR2	27615	136791921	Kogia breviceps
ACKR2	27622	118633249	Molossus molossus
ACKR2	27675	119543454	Choloepus didactylus
ACKR2	28680	137852032	Anas acuta
ACKR2	29073	103680236	Ursus maritimus
ACKR2	29078	103300185	Eptesicus fuscus
ACKR2	29088	110570804	Neomonachus schauinslandi
ACKR2	291302	107524320	Miniopterus natalensis
ACKR2	29139	114024279	Vombatus ursinus
ACKR2	30419	104326254	Opisthocomus hoazin
ACKR2	30455	104082568	Fulmarus glacialis
ACKR2	30464	112953170	Nothoprocta perdicaria
ACKR2	30522	113881006	Bos indicus x Bos taurus
ACKR2	30532	133045668	Dama dama
ACKR2	30538	102527277	Vicugna pacos
ACKR2	30608	105874432	Microcebus murinus
ACKR2	30611	100966589	Otolemur garnettii
ACKR2	321398	108504697	Lepidothrix coronata
ACKR2	32536	106966679	Acinonyx jubatus
ACKR2	328815	103756359	Manacus vitellinus
ACKR2	33562	122734845	Dromiciops gliroides
ACKR2	33587	142405219	Mycteria americana
ACKR2	33595	138721735	Phaenicophaeus curvirostris
ACKR2	336983	105518111	Colobus angolensis palliatus
ACKR2	345164	102051547	Falco cherrug
ACKR2	34880	129507156	Nyctereutes procyonoides
ACKR2	34884	112823153	Callorhinus ursinus
ACKR2	34886	114212209	Eumetopias jubatus
ACKR2	36300	104033051	Pelecanus crispus
ACKR2	36723	116575997	Mustela erminea
ACKR2	37029	122492098	Prionailurus bengalensis
ACKR2	37032	115292372	Suricata suricatta
ACKR2	37040	104259737	Gavia stellata
ACKR2	37174	138424217	Ovis canadensis
ACKR2	37293	105729788	Aotus nancymaae
ACKR2	37610	306799121	Erithacus rubecula
ACKR2	379532	105806033	Propithecus coquereli
ACKR2	38626	110217130	Phascolarctos cinereus
ACKR2	38654	102377418	Alligator sinensis
ACKR2	40151	114906841	Monodon monoceros
ACKR2	419612	102504496	Camelus ferus
ACKR2	42254	101554150	Sorex araneus
ACKR2	44394	102074490	Zonotrichia albicollis
ACKR2	452646	122910563	Neogale vison
ACKR2	46218	140249217	Excalfactoria chinensis
ACKR2	482537	103588231	Galeopterus variegatus
ACKR2	48427	137665740	Nyctibius grandis
ACKR2	48708	132497431	Mesoplodon densirostris
ACKR2	48849	135298906	Passer domesticus
ACKR2	48850	143657359	Tamandua tetradactyla
ACKR2	48883	102041651	Geospiza fortis
ACKR2	494514	121478997	Vulpes lagopus
ACKR2	50402	104282404	Charadrius vociferus
ACKR2	51298	118668387	Myotis myotis
ACKR2	54180	117083965	Trachypithecus francoisi
ACKR2	54374	104544951	Mesitornis unicolor
ACKR2	54380	104165127	Cariama cristata
ACKR2	54383	104515300	Eurypyga helias
ACKR2	55149	306645960	Sciurus vulgaris
ACKR2	55661	104057011	Cuculus canorus
ACKR2	56313	104358667	Tyto alba
ACKR2	57068	103806277	Acanthisitta chloris
ACKR2	57412	104557141	Colius striatus
ACKR2	59463	102441157	Myotis lucifugus
ACKR2	59479	117036831	Rhinolophus ferrumequinum
ACKR2	59482	136314040	Saccopteryx bilineata
ACKR2	59534	120867752	Oryx dammah
ACKR2	59729	101233386	Taeniopygia guttata
ACKR2	59894	101809588	Ficedula albicollis
ACKR2	60711	103227470	Chlorocebus sabaeus
ACKR2	61383	116737722	Lynx canadensis
ACKR2	61621	108532334	Rhinopithecus bieti
ACKR2	61622	104670955	Rhinopithecus roxellana
ACKR2	61853	100589553	Nomascus leucogenys
ACKR2	649802	113999715	Pipra filicauda
ACKR2	68408	129548095	Moschus berezovskii
ACKR2	68724	144294057	Canis aureus
ACKR2	75485	128906244	Rissa tridactyla
ACKR2	76717	116869701	Lontra canadensis
ACKR2	77151	132011722	Mustela nigripes
ACKR2	7888	122807618	Protopterus annectens
ACKR2	81927	128797010	Vidua chalybeata
ACKR2	82174	137232284	Pseudorca crassidens
ACKR2	8296	138568790	Ambystoma mexicanum
ACKR2	8469	102939772	Chelonia mydas
ACKR2	8496	102570873	Alligator mississippiensis
ACKR2	8502	109306059	Crocodylus porosus
ACKR2	85066	103623969	Corvus brachyrhynchos
ACKR2	8790	112980774	Dromaius novaehollandiae
ACKR2	8801	104150127	Struthio camelus
ACKR2	8839	101797665	Anas platyrhynchos
ACKR2	8845	106036784	Anser cygnoides
ACKR2	8868	118251793	Cygnus atratus
ACKR2	8869	121066268	Cygnus olor
ACKR2	8884	118163275	Oxyura jamaicensis
ACKR2	8932	102083634	Columba livia
ACKR2	89399	109445298	Rhinolophus sinicus
ACKR2	8954	114012184	Falco peregrinus
ACKR2	89673	114501880	Phyllostomus discolor
ACKR2	8969	104325798	Haliaeetus albicilla
ACKR2	8996	110395136	Numida meleagris
ACKR2	9031	420393	Gallus gallus
ACKR2	9054	116238315	Phasianus colchicus
ACKR2	9103	104911317	Meleagris gallopavo
ACKR2	9135	103812686	Serinus canaria
ACKR2	9157	107201007	Parus major
ACKR2	9160	120510524	Passer montanus
ACKR2	9209	104052604	Phalacrocorax carbo
ACKR2	9233	103896197	Aptenodytes forsteri
ACKR2	9234	143157256	Aptenodytes patagonicus
ACKR2	9238	103924734	Pygoscelis adeliae
ACKR2	9258	100082343	Ornithorhynchus anatinus
ACKR2	9261	119936059	Tachyglossus aculeatus
ACKR2	92651	141495931	Macrotis lagotis
ACKR2	9301	141551477	Sminthopsis crassicaudata
ACKR2	9305	100927067	Sarcophilus harrisii
ACKR2	9315	140533018	Notamacropus eugenii
ACKR2	9337	118830860	Trichosurus vulpecula
ACKR2	9361	101440156	Dasypus novemcinctus
ACKR2	9365	103126632	Erinaceus europaeus
ACKR2	9371	101641950	Echinops telfairi
ACKR2	93934	107308839	Coturnix japonica
ACKR2	9402	102898845	Pteropus alecto
ACKR2	9407	107520010	Rousettus aegyptiacus
ACKR2	9417	119051537	Artibeus jamaicensis
ACKR2	9423	123830674	Phyllostomus hastatus
ACKR2	9430	123480325	Desmodus rotundus
ACKR2	9447	123623106	Lemur catta
ACKR2	9470	128592185	Nycticebus coucang
ACKR2	94827	104567906	Tinamus guttatus
ACKR2	9483	100387549	Callithrix jacchus
ACKR2	9515	116564790	Sapajus apella
ACKR2	9531	105573841	Cercocebus atys
ACKR2	9541	102131725	Macaca fascicularis
ACKR2	9544	106996945	Macaca mulatta
ACKR2	9555	101002771	Papio anubis
ACKR2	9565	112618177	Theropithecus gelada
ACKR2	9568	105542636	Mandrillus leucophaeus
ACKR2	9590	129483843	Symphalangus syndactylus
ACKR2	95912	120243598	Hyaena hyaena
ACKR2	9595	101147907	Gorilla gorilla gorilla
ACKR2	9597	100970268	Pan paniscus
ACKR2	9598	107970617	Pan troglodytes
ACKR2	9598	460298	Pan troglodytes
ACKR2	9600	129033135	Pongo pygmaeus
ACKR2	9601	100433608	Pongo abelii
ACKR2	9606	1238	Homo sapiens
ACKR2	9615	485618	Canis lupus familiaris
ACKR2	9627	112921605	Vulpes vulpes
ACKR2	9643	123778631	Ursus americanus
ACKR2	9644	113253830	Ursus arctos
ACKR2	9646	100465020	Ailuropoda melanoleuca
ACKR2	9657	125105612	Lutra lutra
ACKR2	9662	123940313	Meles meles
ACKR2	9666	131824442	Mustela lutreola
ACKR2	9669	101676403	Mustela putorius furo
ACKR2	9678	144223019	Crocuta crocuta
ACKR2	9685	101082259	Felis catus
ACKR2	9689	122230097	Panthera leo
ACKR2	9690	132682965	Panthera onca
ACKR2	9691	109248828	Panthera pardus
ACKR2	9694	102955847	Panthera tigris
ACKR2	9696	112850333	Puma concolor
ACKR2	9704	113917883	Zalophus californianus
ACKR2	9708	101373781	Odobenus rosmarus divergens
ACKR2	97097	104625389	Phaethon lepturus
ACKR2	9711	118528106	Halichoerus grypus
ACKR2	9713	102727467	Leptonychotes weddellii
ACKR2	9716	123863898	Mirounga angustirostris
ACKR2	9720	116635308	Phoca vitulina
ACKR2	9728	132432191	Delphinus delphis
ACKR2	9731	115838938	Globicephala melas
ACKR2	9733	101272878	Orcinus orca
ACKR2	9737	307192684	Stenella coeruleoalba
ACKR2	9739	101316474	Tursiops truncatus
ACKR2	9742	136129886	Phocoena phocoena
ACKR2	9749	111164261	Delphinapterus leucas
ACKR2	9755	102989166	Physeter macrocephalus
ACKR2	9764	137773023	Eschrichtius robustus
ACKR2	9767	103000340	Balaenoptera acutorostrata
ACKR2	9771	118904140	Balaenoptera musculus
ACKR2	9785	100665313	Loxodonta africana
ACKR2	9793	139041467	Equus asinus
ACKR2	9796	100067183	Equus caballus
ACKR2	9798	103559258	Equus przewalskii
ACKR2	9823	100737352	Sus scrofa
ACKR2	9837	105061778	Camelus bactrianus
ACKR2	9838	105084607	Camelus dromedarius
ACKR2	98922	132215762	Myotis daubentonii
ACKR2	9913	512583	Bos taurus
ACKR2	9940	105603394	Ovis aries
ACKR2	9978	105941625	Ochotona princeps
ACKR2	9983	133766841	Lepus europaeus
ACKR2	9986	100345678	Oryctolagus cuniculus
ACKR3	100784	104639827	Balearica regulorum gibbericeps
ACKR3	103695	110083709	Pogona vitticeps
ACKR3	103944	107298993	Protobothrops mucrosquamatus
ACKR3	109478	102257104	Myotis brandtii
ACKR3	110931	134384732	Cynocephalus volans
ACKR3	111125	138644691	Ranitomeya imitator
ACKR3	111821	141925474	Strix aluco
ACKR3	118200	104300532	Dryobates pubescens
ACKR3	118797	103072113	Lipotes vexillifer
ACKR3	120794	119152571	Falco rusticolus
ACKR3	121349	139156529	Erythrolamprus reginae
ACKR3	121530	104373354	Tauraco erythrolophus
ACKR3	128390	104010215	Nipponia nippon
ACKR3	132908	105305396	Pteropus vampyrus
ACKR3	1330250	307219125	Podarcis cretensis
ACKR3	13616	100020044	Monodelphis domestica
ACKR3	13735	102459085	Pelodiscus sinensis
ACKR3	143281	140616252	Canis lupus baileyi
ACKR3	143291	120600758	Pteropus medius
ACKR3	143292	118920385	Manis pentadactyla
ACKR3	143302	101623080	Condylura cristata
ACKR3	143630	143825544	Paroedura picta
ACKR3	148594	121092817	Falco naumanni
ACKR3	156563	111931854	Cyanistes caeruleus
ACKR3	1608482	121014383	Herpailurus yagouaroundi
ACKR3	1706337	112404720	Neophocaena asiaeorientalis asiaeorientalis
ACKR3	175006	130588895	Malurus melanocephalus
ACKR3	175836	104493417	Buceros rhinoceros silvestris
ACKR3	176057	104409752	Nestor notabilis
ACKR3	176946	103064332	Python bivittatus
ACKR3	185453	102816755	Chrysochloris asiatica
ACKR3	1868482	103256789	Carlito syrichta
ACKR3	186990	109373736	Hipposideros armiger
ACKR3	187382	104485288	Chlamydotis macqueenii
ACKR3	188344	104352833	Leptosomus discolor
ACKR3	188379	104123250	Egretta garzetta
ACKR3	1884717	129068270	Pteronotus mesoamericanus
ACKR3	194338	113482384	Athene cunicularia
ACKR3	194408	115093941	Rhinatrema bivittatum
ACKR3	219594	116490938	Aythya fuligula
ACKR3	223781	115343172	Aquila chrysaetos chrysaetos
ACKR3	233779	128501830	Spea bombifrons
ACKR3	240206	104464951	Pterocles gutturalis
ACKR3	246437	102501717	Tupaia chinensis
ACKR3	2489341	115608682	Strigops habroptila
ACKR3	249018	136378813	Saccopteryx leptura
ACKR3	2587831	112107636	Terrapene triunguis
ACKR3	261503	133378063	Rhineura floridana
ACKR3	2715852	108310663	Cebus imitator
ACKR3	27606	133101392	Eubalaena glacialis
ACKR3	27610	132521991	Lagenorhynchus albirostris
ACKR3	27615	131750104	Kogia breviceps
ACKR3	27622	118625405	Molossus molossus
ACKR3	27675	119544566	Choloepus didactylus
ACKR3	279965	104531141	Antrostomus carolinensis
ACKR3	28680	137858471	Anas acuta
ACKR3	29073	103662644	Ursus maritimus
ACKR3	29078	103283220	Eptesicus fuscus
ACKR3	29088	110570888	Neomonachus schauinslandi
ACKR3	291302	107543071	Miniopterus natalensis
ACKR3	29139	114040280	Vombatus ursinus
ACKR3	30331	122945317	Bufo gargarizans
ACKR3	30419	104327816	Opisthocomus hoazin
ACKR3	30455	104080952	Fulmarus glacialis
ACKR3	30464	112956050	Nothoprocta perdicaria
ACKR3	30522	113890207	Bos indicus x Bos taurus
ACKR3	30532	133041652	Dama dama
ACKR3	30538	102538428	Vicugna pacos
ACKR3	30608	105865698	Microcebus murinus
ACKR3	30611	100964816	Otolemur garnettii
ACKR3	321398	108504498	Lepidothrix coronata
ACKR3	32536	106968409	Acinonyx jubatus
ACKR3	328815	108641660	Manacus vitellinus
ACKR3	33562	122752536	Dromiciops gliroides
ACKR3	33587	142414358	Mycteria americana
ACKR3	33595	138722442	Phaenicophaeus curvirostris
ACKR3	336983	105502919	Colobus angolensis palliatus
ACKR3	345164	114015442	Falco cherrug
ACKR3	34880	129493882	Nyctereutes procyonoides
ACKR3	34884	112837041	Callorhinus ursinus
ACKR3	34886	114210820	Eumetopias jubatus
ACKR3	35005	116505410	Thamnophis elegans
ACKR3	35019	106547990	Thamnophis sirtalis
ACKR3	36300	104030363	Pelecanus crispus
ACKR3	36723	116597494	Mustela erminea
ACKR3	37029	122481952	Prionailurus bengalensis
ACKR3	37032	115287291	Suricata suricatta
ACKR3	37040	104262718	Gavia stellata
ACKR3	37174	138415737	Ovis canadensis
ACKR3	37293	105704765	Aotus nancymaae
ACKR3	37610	306804305	Erithacus rubecula
ACKR3	379532	105814000	Propithecus coquereli
ACKR3	38654	102382753	Alligator sinensis
ACKR3	40151	114896482	Monodon monoceros
ACKR3	419612	102518890	Camelus ferus
ACKR3	42254	101558876	Sorex araneus
ACKR3	43563	142656284	Rhinoderma darwinii
ACKR3	44394	102066445	Zonotrichia albicollis
ACKR3	452646	122902444	Neogale vison
ACKR3	46218	140255007	Excalfactoria chinensis
ACKR3	481883	129344821	Eublepharis macularius
ACKR3	482537	103602135	Galeopterus variegatus
ACKR3	48427	137667253	Nyctibius grandis
ACKR3	48708	132494901	Mesoplodon densirostris
ACKR3	48849	135308502	Passer domesticus
ACKR3	48850	143678296	Tamandua tetradactyla
ACKR3	48883	102032911	Geospiza fortis
ACKR3	494514	121497408	Vulpes lagopus
ACKR3	499056	131199376	Ahaetulla prasina
ACKR3	50402	104288730	Charadrius vociferus
ACKR3	51298	118661545	Myotis myotis
ACKR3	54180	117094340	Trachypithecus francoisi
ACKR3	54374	104539574	Mesitornis unicolor
ACKR3	54380	104165870	Cariama cristata
ACKR3	54383	104512663	Eurypyga helias
ACKR3	55149	306656730	Sciurus vulgaris
ACKR3	55661	104067376	Cuculus canorus
ACKR3	56313	104368869	Tyto alba
ACKR3	57060	136576252	Eleutherodactylus coqui
ACKR3	57068	103807007	Acanthisitta chloris
ACKR3	57412	104555937	Colius striatus
ACKR3	57421	103776939	Merops nubicus
ACKR3	59463	102418609	Myotis lucifugus
ACKR3	59479	117025459	Rhinolophus ferrumequinum
ACKR3	59482	136306233	Saccopteryx bilineata
ACKR3	59534	120856488	Oryx dammah
ACKR3	59729	100226994	Taeniopygia guttata
ACKR3	59894	101809183	Ficedula albicollis
ACKR3	60711	103218146	Chlorocebus sabaeus
ACKR3	61383	115521441	Lynx canadensis
ACKR3	61621	108540997	Rhinopithecus bieti
ACKR3	61622	104658029	Rhinopithecus roxellana
ACKR3	61853	100588570	Nomascus leucogenys
ACKR3	64176	114582126	Podarcis muralis
ACKR3	649802	113995214	Pipra filicauda
ACKR3	68408	129541336	Moschus berezovskii
ACKR3	68724	144296275	Canis aureus
ACKR3	71010	136663489	Tiliqua scincoides
ACKR3	72004	102276294	Bos mutus
ACKR3	75485	128912626	Rissa tridactyla
ACKR3	76066	140075465	Engystomops pustulosus
ACKR3	76717	116867785	Lontra canadensis
ACKR3	77151	132013675	Mustela nigripes
ACKR3	7888	122792985	Protopterus annectens
ACKR3	80427	117060176	Lacerta agilis
